股票代码,开始时间,结束时间,成交量,成交额,开盘价,最低价,最高价,收盘价,开盘价（前复权）,最低价（前复权）,最高价（前复权）,收盘价（前复权）,开盘价（后复权）,最低价（后复权）,最高价（后复权）,收盘价（后复权）
603818,2015-04-22,2015-04-23,50000,646500.0,12.93,12.93,12.93,12.93,6.44,6.44,6.44,6.44,12.93,12.93,12.93,12.93
603818,2015-04-23,2015-04-24,21800,309996.0,14.22,14.22,14.22,14.22,7.09,7.09,7.09,7.09,14.22,14.22,14.22,14.22
603818,2015-04-24,2015-04-25,19200,300288.0,15.64,15.64,15.64,15.64,7.80,7.80,7.80,7.80,15.64,15.64,15.64,15.64
603818,2015-04-27,2015-04-28,34200,588240.0,17.20,17.20,17.20,17.20,8.57,8.57,8.57,8.57,17.20,17.20,17.20,17.20
603818,2015-04-28,2015-04-29,150150,2840840.0,18.92,18.92,18.92,18.92,9.43,9.43,9.43,9.43,18.92,18.92,18.92,18.92
603818,2015-04-29,2015-04-30,252800,5260770.0,20.81,20.81,20.81,20.81,10.37,10.37,10.37,10.37,20.81,20.81,20.81,20.81
603818,2015-04-30,2015-05-01,254500,5825500.0,22.89,22.89,22.89,22.89,11.41,11.41,11.41,11.41,22.89,22.89,22.89,22.89
603818,2015-05-04,2015-05-05,345000,8687100.0,25.18,25.18,25.18,25.18,12.55,12.55,12.55,12.55,25.18,25.18,25.18,25.18
603818,2015-05-05,2015-05-06,1365200,3.7816E7,27.70,27.70,27.70,27.70,13.81,13.81,13.81,13.81,27.70,27.70,27.70,27.70
603818,2015-05-06,2015-05-07,33472547,9.6964198E8,30.44,27.70,30.44,27.99,15.17,13.81,15.17,13.95,30.44,27.70,30.44,27.99
603818,2015-05-07,2015-05-08,17192073,4.35988E8,26.10,25.19,26.90,25.19,13.01,12.56,13.41,12.56,26.10,25.19,26.90,25.19
603818,2015-05-08,2015-05-09,17354263,4.48883008E8,25.07,24.80,26.95,26.50,12.50,12.36,13.43,13.21,25.07,24.80,26.95,26.50
603818,2015-05-11,2015-05-12,17983527,4.91518016E8,26.47,25.61,29.00,28.76,13.19,12.77,14.46,14.34,26.47,25.61,29.00,28.76
603818,2015-05-12,2015-05-13,17490508,5.03135008E8,28.15,28.01,29.87,28.44,14.03,13.96,14.89,14.18,28.15,28.01,29.87,28.44
603818,2015-05-13,2015-05-14,15864807,4.54347008E8,28.00,27.42,29.88,29.15,13.96,13.67,14.89,14.53,28.00,27.42,29.88,29.15
603818,2015-05-14,2015-05-15,8170234,2.53280992E8,29.15,29.15,32.07,32.07,14.53,14.53,15.99,15.99,29.15,29.15,32.07,32.07
603818,2015-05-15,2015-05-16,6774547,2.3797E8,35.25,33.90,35.28,35.28,17.57,16.90,17.59,17.59,35.25,33.90,35.28,35.28
603818,2015-05-18,2015-05-19,600349,2.32995E7,38.81,38.81,38.81,38.81,19.34,19.34,19.34,19.34,38.81,38.81,38.81,38.81
603818,2015-05-19,2015-05-20,30470608,1.22744E9,42.69,36.02,42.69,42.69,21.28,17.95,21.28,21.28,42.69,36.02,42.69,42.69
603818,2015-05-20,2015-05-21,23565334,1.05604E9,42.00,39.46,46.94,45.86,20.93,19.67,23.40,22.86,42.00,39.46,46.94,45.86
603818,2015-05-21,2015-05-22,16529158,8.0278298E8,45.48,43.50,50.45,50.45,22.67,21.68,25.15,25.15,45.48,43.50,50.45,50.45
603818,2015-05-22,2015-05-23,13304199,7.3427398E8,55.20,53.05,55.50,55.50,27.51,26.44,27.66,27.66,55.20,53.05,55.50,55.50
603818,2015-05-25,2015-05-26,6281163,3.80396992E8,60.70,58.00,61.05,61.05,30.26,28.91,30.43,30.43,60.70,58.00,61.05,61.05
603818,2015-05-26,2015-05-27,371883,2.49757E7,67.16,67.16,67.16,67.16,33.48,33.48,33.48,33.48,67.16,67.16,67.16,67.16
603818,2015-05-27,2015-05-28,270410,1.99779E7,73.88,73.88,73.88,73.88,36.83,36.83,36.83,36.83,73.88,73.88,73.88,73.88
603818,2015-05-28,2015-05-29,4406869,3.29835008E8,81.27,66.49,81.27,66.49,40.51,33.14,40.51,33.14,81.27,66.49,81.27,66.49
603818,2015-05-29,2015-05-30,33354103,2.18272E9,59.84,59.84,73.14,73.14,29.83,29.83,36.46,36.46,59.84,59.84,73.14,73.14
603818,2015-06-01,2015-06-02,19727322,1.32597005E9,70.00,65.83,72.50,65.83,34.89,32.81,36.14,32.81,70.00,65.83,72.50,65.83
